Gen_num,Gen_name,Bus,Tech,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
1,101_Abel_Coal,101,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
2,102_Adams_Coal,102,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
3,115_Arthur_Coal,115,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
4,116_Asser_Coal,116,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
5,123_Austen_Coal,123,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
6,201_Bach_Coal,201,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
7,202_Bacon_Coal,202,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
8,216_Basov_Coal,216,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
9,223_Bloch_Coal,223,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
10,316_Chifa_Coal,316,Coal,2.11399,2.1774097,2.242731991,2.310013951,2.379314369,2.4506938,2.524214614,2.599941053,2.677939284,2.758277463,2.841025787,2.92625656,3.014044257,3.104465585,3.197599552,3.293527539,3.392333365,3.494103366,3.598926467,3.706894261,3.818101089,3.932644122,4.050623445
11,212_Barkla_CSP,212,CSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,107_Alder_Gas_CC,107,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
13,118_Astor_Gas_CC,118,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
14,213_Barlow_Gas_CC,213,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
15,218_Bayle_Gas_CC,218,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
