time,101_PV_1,101_PV_2,101_PV_3,101_PV_4,101_Solar_Cand,102_PV_1,102_PV_2,102_Solar_Cand,103_PV_1,103_Solar_Cand,104_PV_1,104_Solar_Cand,105_Solar_Cand,106_Solar_Cand,107_Solar_Cand,108_Solar_Cand,109_Solar_Cand,110_Solar_Cand,111_Solar_Cand,112_Solar_Cand,113_PV_1,113_Solar_Cand,114_Solar_Cand,115_Solar_Cand,116_Solar_Cand,117_Solar_Cand,118_Solar_Cand,119_PV_1,119_Solar_Cand,120_Solar_Cand,121_Solar_Cand,122_Solar_Cand,123_Solar_Cand,124_Solar_Cand,201_Solar_Cand,202_Solar_Cand,203_Solar_Cand,204_Solar_Cand,205_Solar_Cand,206_Solar_Cand,207_Solar_Cand,208_Solar_Cand,209_Solar_Cand,210_Solar_Cand,211_Solar_Cand,212_Solar_Cand,213_Solar_Cand,214_Solar_Cand,215_PV_1,215_Solar_Cand,216_Solar_Cand,217_Solar_Cand,218_Solar_Cand,219_Solar_Cand,220_Solar_Cand,221_Solar_Cand,222_Solar_Cand,223_Solar_Cand,224_Solar_Cand,301_Solar_Cand,302_Solar_Cand,303_Solar_Cand,304_Solar_Cand,305_Solar_Cand,306_Solar_Cand,307_Solar_Cand,308_Solar_Cand,309_Solar_Cand,310_PV_1,310_PV_2,310_Solar_Cand,311_Solar_Cand,312_PV_1,312_Solar_Cand,313_PV_1,313_PV_2,313_Solar_Cand,314_PV_1,314_PV_2,314_PV_3,314_PV_4,314_Solar_Cand,315_Solar_Cand,316_Solar_Cand,317_Solar_Cand,318_Solar_Cand,319_PV_1,319_Solar_Cand,320_PV_1,320_Solar_Cand,321_Solar_Cand,322_Solar_Cand,323_Solar_Cand,324_PV_1,324_PV_2,324_PV_3,324_Solar_Cand,325_Solar_Cand
2020-01-01 00:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 01:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 02:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 03:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 04:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 07:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 08:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 09:00:00-07:00,3.862945129,3.982263898,3.907689668,3.848030283,0.149148461,3.91559962,3.869713687,0.15295311,8.155046588,0.132602384,3.955879206,0.147607433,0.141176609,0.136757387,0.132218411,0.134525468,0.132309787,0.132213758,0.13220521,0.132285102,11.92473761,0.127401043,0.128135218,0.12263567,0.119073326,0.109670756,0.110061868,8.001566859,0.120143647,0.114861343,0.106911544,0.114854469,0.114667461,0.132575195,0.067685529,0.06775729,0.128834757,0.040816027,0.056405202,0.080644344,0.137852633,0.098451605,0.075981429,0.075971927,0.076006771,0.075950658,0.04442639,0.094745367,14.27470899,0.114106387,0.108983701,0.110953157,0.111659475,0.091240387,0.073307239,0.106426549,0.056440775,0.073834261,0.128777297,0.04850262,0.04853733,0.057749277,0.0546766,0.054917185,0.057624278,0.048408197,0.052416037,0.057264503,3.135552242,3.129487344,0.06064898,0.060682315,5.708618723,0.060665449,6.056312163,5.941681649,0.063683619,3.223442613,3.223442613,5.790952136,3.223442613,0.062469818,0.06313506,0.065980566,0.067477578,0.0675672,13.74302265,0.0730235,4.375068193,0.084788143,0.063501693,0.052089293,0.085757057,2.868599043,2.978263795,2.943632821,0.057718291,0.076818469
2020-01-01 10:00:00-07:00,11.77212999,12.13574791,11.90848671,11.72667775,0.454522393,11.85434914,11.71543099,0.463060513,26.38482531,0.42902155,12.01338569,0.44826066,0.441481919,0.435347613,0.433495203,0.443487299,0.44001971,0.439789834,0.439707562,0.439897196,41.41411684,0.442458513,0.430552107,0.430302894,0.427106438,0.4119372,0.412524688,28.69282809,0.430823245,0.428768694,0.409391277,0.423294127,0.426799876,0.429026645,0.165036876,0.165175638,0.33978414,0.118307106,0.138698857,0.201409013,0.28100997,0.206905119,0.179472919,0.179436476,0.179496279,0.179415599,0.121461591,0.263122944,41.67952829,0.333169691,0.354362813,0.419244478,0.420865463,0.334394283,0.354449658,0.42649359,0.234634525,0.35757054,0.339728737,0.329101547,0.329162312,0.373305114,0.348285318,0.35144012,0.374584299,0.314987976,0.328597982,0.352075716,18.5665362,18.53062414,0.359120623,0.37172766,34.95749247,0.371493012,33.49853332,32.86449168,0.352245356,19.46828164,19.46828164,34.97499433,19.46828164,0.37729228,0.38001665,0.38131275,0.385663991,0.387164028,74.05520953,0.39349208,21.83768618,0.423210972,0.377822969,0.324550844,0.420135288,18.54130282,19.25012526,19.02628659,0.373064443,0.393473428
2020-01-01 11:00:00-07:00,18.82888413,19.41047129,19.04697932,18.75618574,0.726983943,18.63287592,18.4145219,0.727846715,43.76742838,0.711665502,19.59376258,0.731110544,0.723820814,0.720044438,0.57672442,0.637765214,0.706787902,0.706529303,0.706372135,0.706587042,64.21850532,0.686095142,0.706129335,0.692360121,0.688432858,0.673600508,0.673736361,46.18794574,0.693512699,0.695253143,0.672817128,0.685813051,0.68449006,0.711739707,0.424570746,0.425052986,0.524801827,0.429944205,0.372979905,0.423675427,0.461616572,0.331586514,0.522336146,0.522092548,0.522338239,0.522090183,0.509662449,0.669745853,85.39254344,0.682594272,0.707231744,0.698137298,0.699700605,0.704073958,0.665528392,0.708673313,0.62051897,0.670583113,0.524778219,0.642298619,0.642152076,0.663345956,0.64928309,0.654822701,0.669974746,0.607543902,0.619935511,0.651151627,34.0733308,34.00742493,0.659058623,0.659417603,62.0119965,0.659001026,61.32906253,60.16826009,0.644890247,34.38588683,34.38588683,61.77464553,34.38588683,0.666393156,0.671360915,0.667002064,0.667320906,0.670057667,127.8001011,0.679065362,36.93821051,0.715856793,0.653269096,0.630421011,0.711746249,32.95174309,34.21146767,33.81365991,0.663012939,0.678711969
2020-01-01 12:00:00-07:00,22.76801435,23.47127348,23.03173653,22.68010696,0.879073913,22.61756175,22.35251219,0.883498506,53.58954411,0.871374701,23.58920366,0.880194167,0.875550647,0.876727902,0.887711339,0.882968658,0.869434499,0.869212114,0.869014359,0.869200958,81.2263683,0.86780308,0.866731811,0.852130246,0.849374647,0.844079062,0.843659594,56.91822736,0.854628038,0.863625891,0.844285859,0.854322804,0.85720532,0.871501777,0.864771564,0.865848525,0.857767494,0.799767866,0.8284298,0.842721757,0.870873721,0.797317926,0.857542354,0.857072744,0.857472191,0.857139688,0.815133041,0.879319213,109.3431019,0.874045579,0.877926466,0.870904154,0.871955983,0.881367232,0.883231175,0.889975363,0.833085909,0.888498112,0.857791459,0.721930517,0.721636422,0.851182659,0.807076601,0.813499927,0.869041993,0.524003626,0.634912016,0.860226701,45.13369019,45.04639099,0.872992073,0.873354829,82.13638438,0.872862746,81.29420231,79.75551079,0.854828626,44.25472272,44.25472272,79.50412395,44.25472272,0.857649665,0.861513104,0.855081833,0.863549542,0.86685592,162.1680688,0.861679431,46.34344583,0.898128795,0.867387691,0.699171922,0.896169237,42.28765103,43.90428155,43.39376665,0.85085817,0.865577478
2020-01-01 13:00:00-07:00,24.24060954,24.98935424,24.5213888,24.14701645,0.93593087,23.9280165,23.64761005,0.934688144,57.59395327,0.936487045,25.31321138,0.944522813,0.939792314,0.940212452,0.948534586,0.944908541,0.934496688,0.934314446,0.934095309,0.934249699,87.62676195,0.936183354,0.933541344,0.926564083,0.924972459,0.916294622,0.915449934,61.95058323,0.930188937,0.936837636,0.912471153,0.925208466,0.930590433,0.936648682,0.580008564,0.580560256,0.930327457,0.451739798,0.531567937,0.71433259,0.814005701,0.629431073,0.724418211,0.723999279,0.724315193,0.724100536,0.475554552,0.867353543,115.7526479,0.925280958,0.922083647,0.926122478,0.926721537,0.869912544,0.801438973,0.934677135,0.568903967,0.806014359,0.930398682,0.92215251,0.92167186,0.930370024,0.91133312,0.917722266,0.944410445,0.705804795,0.783205458,0.918935361,47.9315,47.83878917,0.927108317,0.927444544,87.22485694,0.926937906,83.44186347,81.86252221,0.877411814,47.81280804,47.81280804,85.8962656,47.81280804,0.926604807,0.927274916,0.9182797,0.88510335,0.888676507,174.7901059,0.928746578,49.536,0.96,0.823201938,0.907669347,0.96,46.22502732,47.99218128,47.43413266,0.930081033,0.928284814
2020-01-01 14:00:00-07:00,24.08132653,24.82515129,24.36026082,23.98834844,0.929780947,23.87005088,23.59032372,0.932423862,56.34063639,0.916107909,25.01028947,0.933219757,0.92371501,0.918718436,0.830342957,0.874948199,0.911062813,0.910923968,0.910710658,0.91082918,85.30361327,0.91136339,0.911392772,0.9067242,0.904391718,0.906775981,0.905698804,60.54157286,0.909032626,0.914893773,0.911517128,0.914671654,0.913282092,0.91627822,0.635327265,0.635995361,0.594320837,0.666903324,0.552655817,0.504686845,0.602994994,0.473851419,0.566259322,0.565913062,0.566141914,0.566029768,0.7335779,0.596222537,83.34668483,0.666240486,0.720343706,0.855246913,0.855407797,0.753638726,0.876180209,0.854667979,0.896665346,0.880801342,0.594411657,0.953999532,0.953450248,0.936593607,0.942042471,0.948239142,0.96,0.906217675,0.906742426,0.941820178,49.01967729,48.92486166,0.948156234,0.948462233,89.20321913,0.947961946,87.76784901,86.10662789,0.922900621,48.57493016,48.57493016,87.26542686,48.57493016,0.941374616,0.925933674,0.918973415,0.901464244,0.905145383,173.7232836,0.923078021,49.09454266,0.951444625,0.877629638,0.846855182,0.953243397,46.53581926,48.3148546,47.75305397,0.936334392,0.939681378
