Number,Bus_name,Bus_number,Load_share,LAT,LON,Region
101,Abel,101,1.263157895,33.3961036,-113.835642,1
102,Adams,102,1.134502924,33.35767844,-113.8259335,1
103,Adler,103,2.105263158,33.53683282,-114.6703991,1
104,Agricola,104,0.865497076,33.81230352,-113.8254191,1
105,Aiken,105,0.830409357,33.65955984,-113.9990231,1
106,Alber,106,1.590643275,33.73803645,-114.1819242,1
107,Alder,107,1.461988304,34.69726196,-113.7013088,1
108,Alger,108,2,34.4592108,-113.7616436,1
109,Ali,109,2.046783626,33.92043627,-114.308281,1
110,Allen,110,2.280701754,33.91279307,-114.2929646,1
111,Anna,111,0,33.90438607,-114.3011177,1
112,Archer,112,0,33.91086601,-114.3134024,1
113,Arne,113,3.099415205,34.35428034,-114.274657,1
114,Arnold,114,2.269005848,33.77708609,-114.8199113,1
115,Arthur,115,3.707602339,33.50618372,-115.3295084,1
116,Asser,116,1.169590643,33.66103124,-115.321058,1
117,Aston,117,0,33.57523255,-115.6408087,1
118,Astor,118,3.894736842,33.54453082,-115.799956,1
119,Attar,119,2.116959064,33.86907891,-115.3691306,1
120,Attila,120,1.497076023,34.24457859,-115.2624699,1
121,Attlee,121,0,33.52712147,-116.070778,1
122,Aubrey,122,0,32.81886407,-116.3243473,1
123,Austen,123,0,34.38200027,-115.0687884,1
124,Avery,124,0,33.54296506,-114.6564883,1
201,Bach,201,1.263157895,36.2556636,-113.7214959,2
202,Bacon,202,1.134502924,36.28996256,-113.7459985,2
203,Baffin,203,2.105263158,35.35440226,-113.9759336,2
204,Bailey,204,0.865497076,36.19029231,-114.2218682,2
205,Bain,205,0.830409357,36.07922951,-113.9830412,2
206,Bajer,206,1.590643275,35.78739717,-113.8903468,2
207,Baker,207,1.461988304,36.05246663,-113.0828494,2
208,Balch,208,2,35.93381421,-113.3177011,2
209,Balzac,209,2.046783626,35.80510733,-114.1508325,2
210,Banks,210,2.280701754,35.78782341,-114.1628815,2
211,Bardeen,211,0,35.80148483,-114.1675516,2
212,Barkla,212,0,35.79144538,-114.1461651,2
213,Barlow,213,3.099415205,36.1460954,-114.6228964,2
214,Barry,214,2.269005848,35.56761113,-114.4925684,2
215,Barton,215,3.707602339,35.14859089,-114.5757743,2
216,Basov,216,1.169590643,35.26148957,-114.7307626,2
217,Bates,217,0,35.0877489,-114.9211636,2
218,Bayle,218,3.894736842,35.11490694,-115.0778823,2
219,Bede,219,2.116959064,35.4192172,-114.9791817,2
220,Beethoven,220,1.497076023,35.64669555,-115.4465869,2
221,Behring,221,0,35.3163216,-115.1979424,2
222,Bell,222,0,36.33098104,-115.2902095,2
223,Bloch,223,0,35.82434965,-115.5364456,2
224,Bordet,224,0,35.35643752,-113.9602525,2
301,Cabell,301,1.263157895,35.0475822,-118.8217654,3
302,Cabot,302,1.134502924,35.02993688,-118.8648595,3
303,Caesar,303,2.105263158,35.21754253,-118.0435499,3
304,Caine,304,0.865497076,34.63209145,-118.5635853,3
305,Calvin,305,0.830409357,34.87388488,-118.5104873,3
306,Camus,306,1.590643275,34.88716764,-118.2761997,3
307,Carew,307,1.461988304,34.10126562,-118.878178,3
308,Carrel,308,2,34.22471784,-118.6542579,3
309,Carter,309,2.046783626,34.73575793,-118.127342,3
310,Caruso,310,2.280701754,34.72931591,-118.1045248,3
311,Cary,311,0,34.74209387,-118.1119332,3
312,Caxton,312,0,34.72296307,-118.1198874,3
313,Cecil,313,3.099415205,34.26526814,-118.0188551,3
314,Chain,314,2.269005848,34.94496423,-117.6848792,3
315,Chase,315,3.707602339,35.26597012,-117.3864335,3
316,Chifa,316,1.169590643,35.13836711,-117.2515886,3
317,Chuhsi,317,0,35.37843341,-117.0558295,3
318,Clark,318,3.894736842,35.50581323,-116.9765714,3
319,Clay,319,2.116959064,34.9176312,-117.1244195,3
320,Clive,320,1.497076023,34.46246563,-117.0635083,3
321,Cobb,321,0,35.74534438,-117.1153628,3
322,Cole,322,0,36.43895848,-117.4852717,3
323,Comte,323,0,34.25300337,-117.1132211,3
324,Curie,324,0,35.20658182,-118.0348168,3
325,Curtiss,325,0,34.25189131,-117.1289772,3
