Tech_num,Tech_name,Cost,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
17,ES_4hr_Cand,Power,403.3645219,395.6951084,387.9339165,380.071255,372.0960183,363.9954189,361.5032214,359.0110239,356.5188264,354.026629,351.5344315,349.042234,346.5500365,344.057839,341.5656415,339.073444,336.5812466,334.0890491,331.5968516,329.1046541,326.6124566,324.1202591,321.6280616,319.1358642,316.6436667,314.1514692
18,ES_6hr_Cand,Power,403.3645219,395.6951084,387.9339165,380.071255,372.0960183,363.9954189,361.5032214,359.0110239,356.5188264,354.026629,351.5344315,349.042234,346.5500365,344.057839,341.5656415,339.073444,336.5812466,334.0890491,331.5968516,329.1046541,326.6124566,324.1202591,321.6280616,319.1358642,316.6436667,314.1514692
19,ES_8hr_Cand,Power,403.3645219,395.6951084,387.9339165,380.071255,372.0960183,363.9954189,361.5032214,359.0110239,356.5188264,354.026629,351.5344315,349.042234,346.5500365,344.057839,341.5656415,339.073444,336.5812466,334.0890491,331.5968516,329.1046541,326.6124566,324.1202591,321.6280616,319.1358642,316.6436667,314.1514692
20,ES_10hr_Cand,Power,403.3645219,395.6951084,387.9339165,380.071255,372.0960183,363.9954189,361.5032214,359.0110239,356.5188264,354.026629,351.5344315,349.042234,346.5500365,344.057839,341.5656415,339.073444,336.5812466,334.0890491,331.5968516,329.1046541,326.6124566,324.1202591,321.6280616,319.1358642,316.6436667,314.1514692
21,ES_100hr_Cand,Power,403.3645219,395.6951084,387.9339165,380.071255,372.0960183,363.9954189,361.5032214,359.0110239,356.5188264,354.026629,351.5344315,349.042234,346.5500365,344.057839,341.5656415,339.073444,336.5812466,334.0890491,331.5968516,329.1046541,326.6124566,324.1202591,321.6280616,319.1358642,316.6436667,314.1514692
22,Li_Ion_Cand,Power,137.0516138,137.4876553,137.9653839,138.489839,139.0669061,139.7035027,138.7548373,137.7990971,136.8360063,135.865275,134.8865973,133.8996514,132.9040972,131.8995763,130.8857097,129.862097,128.8283144,127.7839133,126.7284183,125.661325,124.5820984,123.4901695,122.3849337,121.2657471,120.1319236,118.9827314
23,Flow_Cand,Power,215.1610412,215.8455946,216.5955937,217.4189499,218.3249032,219.3243135,217.834978,216.3345355,214.8225533,213.2985758,211.7621233,210.2126901,208.6497427,207.0727181,205.4810215,203.8740241,202.2510608,200.6114272,198.9543769,197.2791184,195.5848112,193.8705626,192.1354229,190.3783815,188.5983613,186.7942133
24,Grav_Cand,Power,1181.361292,1185.119895,1189.237834,1193.758546,1198.732765,1204.220118,1196.042786,1187.80447,1179.502793,1171.135256,1162.699224,1154.19192,1145.610415,1136.951617,1128.212262,1119.388897,1110.477869,1101.475312,1092.377126,1083.178966,1073.876218,1064.46398,1054.937038,1045.289842,1035.516479,1025.61064
25,PSH_Cand,Power,2326.347651,2333.749127,2341.858209,2350.760438,2360.555716,2371.361463,2355.258585,2339.035616,2322.687878,2306.210446,2289.598132,2272.845469,2255.94669,2238.895706,2221.686086,2204.311033,2186.763354,2169.035434,2151.119203,2133.006101,2114.687043,2096.152376,2077.391833,2058.394485,2039.148687,2019.642017
26,Therm_Cand,Power,2137.374486,2144.174727,2151.625095,2159.80418,2168.803772,2178.731749,2163.936935,2149.031786,2134.012002,2118.87306,2103.610193,2088.218377,2072.692314,2057.02641,2041.214757,2025.251109,2009.128858,1992.841007,1976.380141,1959.738398,1942.907428,1925.878363,1908.641771,1891.18761,1873.505181,1855.583071
