datetime,year,day,36,84,87,108
2020-01-01 00:00:00,2020,2021-01-01 00:00:00.000,713.2,480.8,142.8,795.1
2020-01-01 01:00:00,2020,2021-01-01 01:00:00.000,712.8,634.9,139.1,794.4
2020-01-01 02:00:00,2020,2021-01-01 01:59:59.990,708.4,487.3,145.3,773.6
2020-01-01 03:00:00,2020,2021-01-01 02:59:59.985,710.7,432.7,144.8,767.3
2020-01-01 04:00:00,2020,2021-01-01 03:59:59.980,701.4,407.9,137.1,752.2
2020-01-01 05:00:00,2020,2021-01-01 04:59:59.975,682.5,440.2,98.6,719.4
2020-01-01 06:00:00,2020,2021-01-01 05:59:59.970,614.7,377.3,62.2,655.3
2020-01-01 07:00:00,2020,2021-01-01 06:59:59.965,517.7,199.3,47.3,594.6
2020-01-01 08:00:00,2020,2021-01-01 07:59:59.960,426.6,110.6,48.9,579.1
2020-01-01 09:00:00,2020,2021-01-01 08:59:59.955,274.2,3.6,30.7,466.8
2020-01-01 10:00:00,2020,2021-01-01 09:59:59.950,93.0,2.4,27.4,301.4
2020-01-01 11:00:00,2020,2021-01-01 10:59:59.945,6.3,56.2,60.9,110.7
2020-01-01 12:00:00,2020,2021-01-01 11:59:59.940,3.8,91.5,20.4,78.9
2020-01-01 13:00:00,2020,2021-01-01 12:59:59.935,1.1,103.0,1.6,107.9
2020-01-01 14:00:00,2020,2021-01-01 13:59:59.930,0.0,39.7,0.0,22.3
2020-01-01 15:00:00,2020,2021-01-01 14:59:59.925,0.0,87.7,2.6,24.6
2020-01-01 16:00:00,2020,2021-01-01 15:59:59.920,0.9,92.3,37.9,10.8
2020-01-01 17:00:00,2020,2021-01-01 16:59:59.915,276.3,89.4,46.9,243.2
2020-01-01 18:00:00,2020,2021-01-01 17:59:59.910,272.9,90.4,24.0,375.2
2020-01-01 19:00:00,2020,2021-01-01 18:59:59.905,345.6,81.1,24.0,568.4
2020-01-01 20:00:00,2020,2021-01-01 19:59:59.900,411.7,172.9,27.4,636.1
2020-01-01 21:00:00,2020,2021-01-01 20:59:59.895,376.6,326.9,6.5,719.2
2020-01-01 22:00:00,2020,2021-01-01 21:59:59.890,561.3,256.7,1.3,734.9
2020-01-01 23:00:00,2020,2021-01-01 22:59:59.885,568.4,141.1,0.1,729.1
2020-01-02 00:00:00,2020,2021-01-01 23:59:59.880,630.0,52.6,0.8,757.1
2020-01-02 01:00:00,2020,2021-01-02 00:59:59.875,672.3,17.4,2.7,753.4
2020-01-02 02:00:00,2020,2021-01-02 01:59:59.870,661.3,8.9,11.4,734.3
2020-01-02 03:00:00,2020,2021-01-02 02:59:59.865,654.0,7.0,18.3,724.2
2020-01-02 04:00:00,2020,2021-01-02 03:59:59.860,654.4,11.6,23.6,725.7
2020-01-02 05:00:00,2020,2021-01-02 04:59:59.855,666.4,23.3,24.6,748.0
2020-01-02 06:00:00,2020,2021-01-02 05:59:59.850,686.7,16.1,10.3,764.3
2020-01-02 07:00:00,2020,2021-01-02 06:59:59.845,689.3,20.5,5.6,764.3
2020-01-02 08:00:00,2020,2021-01-02 07:59:59.840,683.8,35.2,3.7,765.3
2020-01-02 09:00:00,2020,2021-01-02 08:59:59.835,698.6,33.4,0.8,781.5
2020-01-02 10:00:00,2020,2021-01-02 09:59:59.830,713.5,22.9,0.0,785.8
2020-01-02 11:00:00,2020,2021-01-02 10:59:59.825,710.3,31.8,0.0,776.7
